2.94	8.65	5.60	9.47	8.09	1.23	4.99	4.97	4.26	3.58	
-8.65	6.98	1.81	3.49	6.95	8.55	0.81	2.95	8.57	5.04	
-5.60	-1.81	1.98	3.80	0.30	7.58	9.94	2.44	6.61	4.40	
-9.47	-3.49	-3.80	2.50	0.82	4.76	4.56	5.04	8.08	6.18	
-8.09	-6.95	-0.30	-0.82	5.02	2.16	5.13	0.64	5.49	7.59	
-1.23	-8.55	-7.58	-4.76	-2.16	9.04	5.46	6.90	8.35	0.71	
-4.99	-0.81	-9.94	-4.56	-5.13	-5.46	5.84	8.93	6.13	8.00	
-4.97	-2.95	-2.44	-5.04	-0.64	-6.90	-8.93	3.75	4.89	0.99	
-4.26	-8.57	-6.61	-8.08	-5.49	-8.35	-6.13	-4.89	5.15	7.96	
-3.58	-5.04	-4.40	-6.18	-7.59	-0.71	-8.00	-0.99	-7.96	4.37	
8.65
