Inverse of matrix
A=
-9.39	-5.70	-9.38	-9.47	4.23	-8.49	0.59	3.86	-5.35	-5.26	
-7.82	-6.85	-5.61	0.11	4.40	-6.83	-9.13	-5.52	-8.40	2.42	
-8.68	4.56	-8.13	-7.00	-5.08	-7.59	0.32	-9.82	3.94	-8.42	
0.08	-8.08	3.00	-6.70	-5.96	-6.39	-7.13	3.71	4.07	-9.15	
0.04	-5.67	-9.73	-7.61	3.23	4.07	4.23	-5.14	-5.58	4.43	
2.73	-7.81	4.83	-6.34	-6.40	4.82	-7.56	2.38	4.39	-6.63	
-8.18	0.76	-9.91	-6.92	-5.17	-9.73	3.85	-8.90	4.14	-8.00	
-9.68	-5.42	1.45	-9.24	2.38	3.01	4.83	0.52	3.77	1.02	
3.36	-5.16	4.24	-9.50	-5.69	2.26	3.24	-6.66	0.30	1.13	
-8.83	4.76	-9.31	-7.43	0.98	-9.27	-5.75	2.81	2.44	3.49	

A*B=
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	
